iter	RMSE
0	4238.056723
1	3946.399976
2	3692.547799
3	3464.567178
4	3265.579235
5	3087.153572
6	2929.80442
7	2791.461733
8	2671.887874
9	2565.082635
10	2473.506099
11	2396.400657
12	2327.561695
13	2268.285753
14	2215.620451
15	2170.634483
16	2131.145314
17	2096.494685
18	2064.889867
19	2035.573426
20	2005.530446
21	1981.952783
22	1960.91336
23	1937.622867
24	1920.087794
25	1903.405572
26	1888.73325
27	1876.451059
28	1867.053559
29	1856.335097
30	1845.596119
31	1838.746566
32	1829.850905
33	1822.189462
34	1816.040256
35	1809.203891
36	1803.530631
37	1798.148046
38	1793.332321
39	1788.704626
40	1784.000693
41	1779.740996
42	1775.458239
43	1770.957887
44	1767.122659
45	1763.925364
46	1760.619571
47	1756.919594
48	1753.85164
49	1750.249501
50	1747.694953
51	1743.40428
52	1739.874815
53	1736.93478
54	1731.580332
55	1728.291397
56	1725.499192
57	1722.35338
58	1720.274846
59	1717.948296
60	1715.645874
61	1713.151847
62	1710.170609
63	1707.259712
64	1703.955297
65	1700.813479
66	1698.773995
67	1694.825197
68	1692.72877
69	1691.959093
70	1689.919374
71	1687.722094
72	1685.379642
73	1683.59212
74	1681.000389
75	1678.902479
76	1676.736694
77	1674.216118
78	1672.259797
79	1670.213045
80	1667.473548
81	1664.040116
82	1662.464043
83	1661.301761
84	1659.862718
85	1656.041274
86	1654.868741
87	1652.737539
88	1651.66713
89	1649.439348
90	1647.949345
91	1646.4839
92	1644.959189
93	1642.830033
94	1641.485837
95	1640.044359
96	1638.298881
97	1637.616303
98	1636.44615
99	1634.585296
100	1631.996892
101	1630.312616
102	1629.742341
103	1628.576062
104	1627.609219
105	1625.627047
106	1623.678489
107	1622.783307
108	1620.233795
109	1618.6678
110	1616.932075
111	1616.095204
112	1615.088686
113	1613.668455
114	1612.670838
115	1611.430851
116	1610.712465
117	1609.433461
118	1608.091586
119	1607.277204
120	1606.235151
121	1604.295088
122	1602.763374
123	1600.965009
124	1599.5174
125	1597.825936
126	1596.483008
127	1595.317465
128	1591.370137
129	1590.017666
130	1588.888946
131	1588.431045
132	1585.290437
133	1583.169411
134	1582.842935
135	1582.142254
136	1581.782721
137	1580.528085
138	1579.734785
139	1577.580143
140	1576.436033
141	1575.867595
142	1575.266185
143	1572.314036
144	1570.759247
145	1569.890048
146	1566.873467
147	1565.145844
148	1563.530131
149	1560.670538
150	1559.298051
151	1558.191841
152	1557.101117
153	1556.263243
154	1552.812832
155	1552.341052
156	1550.726298
157	1550.22053
158	1549.241585
159	1548.051672
160	1546.895561
161	1546.080025
162	1544.739161
163	1542.817095
164	1542.375583
165	1541.881492
166	1540.396187
167	1538.950285
168	1537.88448
169	1535.518422
170	1534.892295
171	1534.190739
172	1533.723018
173	1533.189703
174	1532.783026
175	1531.634039
176	1531.174244
177	1530.32808
178	1529.074447
179	1527.929389
180	1527.215618
181	1525.827414
182	1525.376009
183	1524.264988
184	1523.651458
185	1522.961262
186	1521.818197
187	1521.012751
188	1520.050808
189	1519.449436
190	1519.048717
191	1518.260562
192	1517.742625
193	1516.773722
194	1516.218406
195	1515.759487
196	1514.689774
197	1513.626332
198	1513.143422
199	1512.14039
200	1510.861132
201	1510.58708
202	1509.454635
203	1507.763639
204	1506.575553
205	1505.760028
206	1504.548522
207	1503.03088
208	1502.625259
209	1501.427758
210	1500.175551
211	1499.30042
212	1498.672958
213	1498.225933
214	1496.541784
215	1495.670953
216	1495.317317
217	1494.456155
218	1493.445575
219	1493.124001
220	1492.602898
221	1492.140062
222	1491.28017
223	1490.311235
224	1490.014197
225	1488.862229
226	1487.065601
227	1486.450217
228	1485.47434
229	1484.855
230	1483.672579
231	1483.412615
232	1482.30889
233	1481.539765
234	1480.309216
235	1479.677379
236	1478.924482
237	1478.33935
238	1478.171012
239	1476.553733
240	1476.211704
241	1475.279259
242	1474.770109
243	1473.847955
244	1472.497337
245	1472.132445
246	1470.832326
247	1470.377959
248	1469.190736
249	1468.537266
250	1468.038297
251	1467.084697
252	1466.441586
253	1465.836142
254	1465.446093
255	1463.924204
256	1463.256671
257	1462.671554
258	1462.343112
259	1461.614737
260	1460.942212
261	1460.597793
262	1459.682179
263	1459.111879
264	1459.076924
265	1457.759451
266	1457.491071
267	1457.338965
268	1456.352501
269	1455.46667
270	1454.85532
271	1454.075169
272	1453.341366
273	1452.21509
274	1452.079979
275	1451.12544
276	1450.75662
277	1450.634166
278	1450.000878
279	1448.930014
280	1448.642008
281	1447.725821
282	1447.338679
283	1446.36609
284	1445.517738
285	1445.361076
286	1444.545598
287	1443.889537
288	1443.347366
289	1442.7517
290	1442.130917
291	1441.217555
292	1440.879096
293	1440.548315
294	1439.617267
295	1439.445934
296	1438.481335
297	1437.327132
298	1436.958543
299	1435.581498
