iter	Passed	Remaining
0	114	34205
1	230	34278
2	346	34310
3	455	33687
4	555	32803
5	644	31591
6	729	30522
7	807	29481
8	889	28763
9	1010	29296
10	1105	29054
11	1192	28617
12	1278	28214
13	1379	28173
14	1493	28377
15	1595	28320
16	1694	28208
17	1797	28158
18	1899	28086
19	1978	27705
20	2088	27750
21	2193	27721
22	2309	27814
23	2413	27754
24	2526	27796
25	2641	27837
26	2766	27971
27	2885	28029
28	2992	27960
29	3113	28018
30	3215	27899
31	3324	27839
32	3439	27832
33	3557	27835
34	3666	27762
35	3806	27913
36	3921	27872
37	4080	28132
38	4201	28118
39	4326	28122
40	4434	28014
41	4552	27968
42	4661	27858
43	4772	27769
44	4887	27693
45	4986	27533
46	5102	27467
47	5231	27464
48	5327	27288
49	5434	27170
50	5568	27188
51	5696	27169
52	5803	27047
53	5907	26912
54	6003	26744
55	6130	26713
56	6249	26643
57	6348	26488
58	6468	26422
59	6593	26373
60	6706	26274
61	6826	26206
62	6934	26087
63	7073	26081
64	7228	26134
65	7362	26102
66	7512	26124
67	7629	26031
68	7744	25927
69	7876	25880
70	8004	25817
71	8108	25678
72	8234	25605
73	8352	25510
74	8450	25350
75	8562	25236
76	8687	25160
77	8818	25097
78	8969	25091
79	9088	24994
80	9198	24870
81	9309	24749
82	9430	24656
83	9550	24558
84	9677	24478
85	9787	24355
86	9899	24235
87	9999	24090
88	10134	24027
89	10258	23936
90	10363	23801
91	10502	23745
92	10627	23654
93	10730	23516
94	10836	23384
95	10952	23273
96	11068	23163
97	11202	23090
98	11310	22963
99	11417	22835
100	11532	22722
101	11620	22557
102	11765	22502
103	11926	22476
104	12056	22390
105	12226	22377
106	12325	22232
107	12442	22119
108	12542	21977
109	12657	21862
110	12743	21698
111	12848	21567
112	12993	21502
113	13119	21405
114	13257	21327
115	13391	21242
116	13525	21155
117	13659	21068
118	13790	20975
119	13916	20874
120	14020	20741
121	14149	20643
122	14263	20525
123	14373	20400
124	14493	20290
125	14603	20166
126	14721	20054
127	14893	20013
128	15031	19925
129	15192	19867
130	15339	19789
131	15466	19684
132	15574	19555
133	15704	19455
134	15855	19379
135	15972	19260
136	16102	19158
137	16226	19048
138	16340	18926
139	16446	18796
140	16576	18692
141	16693	18574
142	16826	18474
143	16922	18332
144	17014	18188
145	17118	18056
146	17223	17926
147	17345	17813
148	17463	17698
149	17574	17574
150	17704	17469
151	17813	17344
152	17947	17243
153	18073	17134
154	18189	17015
155	18330	16920
156	18447	16802
157	18577	16695
158	18719	16600
159	18842	16487
160	18978	16385
161	19115	16283
162	19239	16170
163	19351	16047
164	19460	15921
165	19583	15808
166	19699	15689
167	19820	15573
168	19937	15454
169	20041	15325
170	20147	15199
171	20276	15089
172	20413	14985
173	20524	14862
174	20669	14764
175	20799	14654
176	20924	14540
177	21052	14429
178	21159	14303
179	21286	14191
180	21418	14081
181	21528	13957
182	21654	13844
183	21774	13727
184	21901	13614
185	22013	13492
186	22138	13377
187	22229	13243
188	22352	13127
189	22453	12999
190	22576	12883
191	22690	12763
192	22822	12652
193	22929	12528
194	23051	12412
195	23188	12303
196	23302	12183
197	23418	12064
198	23532	11943
199	23646	11823
200	23768	11706
201	23917	11603
202	24023	11479
203	24129	11354
204	24240	11233
205	24350	11111
206	24467	10992
207	24579	10871
208	24714	10760
209	24826	10640
210	24938	10518
211	25060	10402
212	25179	10284
213	25322	10176
214	25445	10059
215	25557	9938
216	25673	9819
217	25788	9700
218	25902	9580
219	26032	9466
220	26174	9356
221	26308	9243
222	26406	9117
223	26512	8995
224	26638	8879
225	26763	8763
226	26894	8648
227	27032	8536
228	27151	8418
229	27268	8299
230	27385	8180
231	27506	8062
232	27614	7940
233	27750	7827
234	27864	7707
235	28003	7594
236	28174	7489
237	28291	7370
238	28420	7253
239	28568	7142
240	28700	7026
241	28815	6906
242	28919	6783
243	29031	6662
244	29140	6541
245	29289	6429
246	29408	6310
247	29527	6191
248	29632	6069
249	29763	5952
250	29892	5835
251	30040	5722
252	30185	5607
253	30305	5488
254	30441	5371
255	30558	5252
256	30677	5132
257	30792	5012
258	30935	4897
259	31058	4778
260	31186	4659
261	31328	4543
262	31455	4425
263	31569	4304
264	31697	4186
265	31829	4068
266	31956	3949
267	32088	3831
268	32212	3712
269	32329	3592
270	32456	3473
271	32570	3352
272	32701	3234
273	32809	3113
274	32938	2994
275	33091	2877
276	33232	2759
277	33372	2641
278	33482	2520
279	33649	2403
280	33796	2285
281	33919	2165
282	34056	2045
283	34180	1925
284	34301	1805
285	34433	1685
286	34551	1565
287	34678	1444
288	34813	1325
289	34944	1204
290	35064	1084
291	35187	964
292	35312	843
293	35454	723
294	35554	602
295	35709	482
296	35839	362
297	35947	241
298	36078	120
299	36203	0
